pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,45,45,11,c,1,0.8798729002010077,None,,,,,11,45,45,2,371.38074589986354,,371.36543269990943,371.38074589986354,372.3808890997898,372.3808890997898,372.3808890997898,372.3808890997898,372.3808890997898,373.380141899921,373.380141899921,374.2648368999362,,,,,c,1,0.8798729002010077,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,46,46,12,c,1,0.6176068999338895,None,,,,,12,46,46,2,374.2806568997912,,374.2656879997812,374.2806568997912,375.2807259999681,375.2807259999681,375.2807259999681,375.2807259999681,375.2807259999681,376.2807176997885,376.2807176997885,376.9146565999836,,,,,c,1,0.6176068999338895,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-150,z,47,47,13,z,1,0.3347386000677943,None,,,,,13,47,47,3,376.93013259978034,,376.91551359998994,376.93013259978034,377.9138122999575,377.9138122999575,377.9138122999575,377.9138122999575,377.93055900000036,378.9142046999186,378.9142046999186,379.2647648998536,,,,,z,1,0.3347386000677943,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,48,48,9,x,1,0.5979251998942345,None,,,,,9,48,48,0,379.2806778999511,,379.2653789999895,379.2806778999511,380.2640519000124,380.2640519000124,380.2640519000124,380.2640519000124,380.2807554998435,381.26383679988794,381.26383679988794,381.8648154998664,,,,,x,1,0.5979251998942345,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,49,49,10,x,1,0.605712000047788,None,,,,,10,49,49,0,381.88038549991325,,381.86543549993075,381.88038549991325,382.8642428999301,382.8642428999301,382.8642428999301,382.8642428999301,382.8806952999439,383.8803697999101,383.8803697999101,384.4984939999413,,,,,x,1,0.605712000047788,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,50,50,12,v,1,0.508156499825418,None,,,,,12,50,50,1,384.5138985000085,,384.4994402998127,384.5138985000085,385.51390719995834,385.51390719995834,385.51390719995834,385.51390719995834,385.51390719995834,386.51401949999854,386.51401949999854,387.03134839981794,,,,,v,1,0.508156499825418,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
150,v,51,51,13,v,1,0.43172540003433824,None,,,,,13,51,51,1,387.0473858998157,,387.0320017999038,387.0473858998157,388.03052719985135,388.03052719985135,388.03052719985135,388.03052719985135,388.04737959988415,389.03070779982954,389.03070779982954,389.464613399934,,,,,v,1,0.43172540003433824,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,52,52,13,c,1,0.6704994000028819,None,,,,,13,52,52,2,389.48081479989924,,389.465198099846,389.48081479989924,390.4641844998114,390.4641844998114,390.4641844998114,390.4641844998114,390.48058609990403,391.46416339999996,391.46416339999996,392.1481172000058,,,,,c,1,0.6704994000028819,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
-50,x,53,53,11,x,1,0.6220092000439763,None,,,,,11,53,53,0,392.16401139996015,,392.1487610999029,392.16401139996015,393.147262299899,393.147262299899,393.147262299899,393.147262299899,393.16443929984234,394.14768469985574,394.14768469985574,394.7814933999907,,,,,x,1,0.6220092000439763,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
50,c,54,54,14,c,1,0.6944168999325484,None,,,,,14,54,54,2,394.79768259986304,,394.7822561999783,394.79768259986304,395.78076619980857,395.78076619980857,395.78076619980857,395.78076619980857,395.7976792999543,396.7806432999205,396.7806432999205,397.481381499907,,,,,c,1,0.6944168999325484,None,Participant-3,001,2025-10-02_15h32.24.633,untitled,,2025.1.1,60.161376873476314,2025-10-02 15h32.37.637108 +0530,
